time_period,area_gnrl_country_ha,demscalar_ippu_cement,demscalar_ippu_chemicals,demscalar_ippu_construction_and_demolition,demscalar_ippu_electronics,demscalar_ippu_glass,demscalar_ippu_lime_and_carbonite,demscalar_ippu_metals,demscalar_ippu_non_energy_products,demscalar_ippu_ods_products,demscalar_ippu_other_industries,demscalar_ippu_other_product_manufacturing,demscalar_ippu_paper,demscalar_ippu_plastic,demscalar_ippu_recycled_glass,demscalar_ippu_recycled_metals,demscalar_ippu_recycled_paper,demscalar_ippu_recycled_plastic,demscalar_ippu_recycled_rubber_and_leather,demscalar_ippu_recycled_textiles,demscalar_ippu_recycled_wood,demscalar_ippu_rubber_and_leather,demscalar_ippu_textiles,ef_ippu_tonne_ch4_per_tonne_production_chemicals,ef_ippu_tonne_ch4_per_tonne_production_metals,ef_ippu_tonne_co2_per_mmm_gdp_non_energy_products,ef_ippu_tonne_co2_per_tonne_production_cement,ef_ippu_tonne_co2_per_tonne_production_chemicals,ef_ippu_tonne_co2_per_tonne_production_glass,ef_ippu_tonne_co2_per_tonne_production_lime_and_carbonite,ef_ippu_tonne_co2_per_tonne_production_metals,ef_ippu_tonne_co2_per_tonne_production_recycled_glass,ef_ippu_tonne_hfc134a_per_tonne_production_chemicals,ef_ippu_tonne_hfc134a_per_tonne_production_electronics,ef_ippu_tonne_hfc134a_per_tonne_production_metals,ef_ippu_tonne_hfc134a_per_tonne_production_ods_products,ef_ippu_tonne_hfc23_per_tonne_production_chemicals,ef_ippu_tonne_hfc23_per_tonne_production_electronics,ef_ippu_tonne_hfc23_per_tonne_production_ods_products,ef_ippu_tonne_hfc23_per_tonne_production_other_product_manufacturing,ef_ippu_tonne_n2o_per_mmm_gdp_other_product_manufacturing,ef_ippu_tonne_n2o_per_tonne_production_chemicals,ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,ef_ippu_tonne_sf6_per_tonne_production_chemicals,ef_ippu_tonne_sf6_per_tonne_production_chemicals.1,ef_ippu_tonne_sf6_per_tonne_production_chemicals.2,ef_ippu_tonne_sf6_per_tonne_production_chemicals.3,ef_ippu_tonne_sf6_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_tonne_production_electronics.1,ef_ippu_tonne_sf6_per_tonne_production_electronics.2,ef_ippu_tonne_sf6_per_tonne_production_electronics.3,elast_ippu_cement_production_to_gdp,elast_ippu_chemicals_production_to_gdp,elast_ippu_electronics_production_to_gdp,elast_ippu_glass_production_to_gdp,elast_ippu_lime_and_carbonite_production_to_gdp,elast_ippu_metals_production_to_gdp,elast_ippu_paper_production_to_gdp,elast_ippu_plastic_production_to_gdp,elast_ippu_recycled_glass_production_to_gdp,elast_ippu_recycled_metals_production_to_gdp,elast_ippu_recycled_paper_production_to_gdp,elast_ippu_recycled_plastic_production_to_gdp,elast_ippu_recycled_rubber_and_leather_production_to_gdp,elast_ippu_recycled_textiles_production_to_gdp,elast_ippu_rubber_and_leather_production_to_gdp,elast_ippu_textiles_production_to_gdp,elasticity_gnrl_rate_occupancy_to_gdppc,frac_gnrl_eating_red_meat,gdp_mmm_usd,occrateinit_gnrl_occupancy,population_gnrl_rural,population_gnrl_urban,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_recycled_glass_tonne,prodinit_ippu_recycled_metals_tonne,prodinit_ippu_recycled_paper_tonne,prodinit_ippu_recycled_plastic_tonne,prodinit_ippu_recycled_rubber_and_leather_tonne,prodinit_ippu_recycled_textiles_tonne,prodinit_ippu_recycled_wood_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne,qty_ippu_cement_tonne_cod_per_m3_ww,qty_ippu_chemicals_tonne_cod_per_m3_ww,qty_ippu_electronics_tonne_cod_per_m3_ww,qty_ippu_glass_tonne_cod_per_m3_ww,qty_ippu_lime_and_carbonite_tonne_cod_per_m3_ww,qty_ippu_metals_tonne_cod_per_m3_ww,qty_ippu_paper_tonne_cod_per_m3_ww,qty_ippu_plastic_tonne_cod_per_m3_ww,qty_ippu_recycled_glass_tonne_cod_per_m3_ww,qty_ippu_recycled_metals_tonne_cod_per_m3_ww,qty_ippu_recycled_paper_tonne_cod_per_m3_ww,qty_ippu_recycled_plastic_tonne_cod_per_m3_ww,qty_ippu_recycled_rubber_and_leather_tonne_cod_per_m3_ww,qty_ippu_recycled_textiles_tonne_cod_per_m3_ww,qty_ippu_recycled_wood_tonne_cod_per_m3_ww,qty_ippu_rubber_and_leather_tonne_cod_per_m3_ww,qty_ippu_textiles_tonne_cod_per_m3_ww,va_commercial_mmm_usd,va_industrial_mmm_usd,va_manufacturing_mmm_usd,va_mining_mmm_usd,vol_ippu_cement_m3_ww_per_tonne_production,vol_ippu_chemicals_m3_ww_per_tonne_production,vol_ippu_electronics_m3_ww_per_tonne_production,vol_ippu_glass_m3_ww_per_tonne_production,vol_ippu_lime_and_carbonite_m3_ww_per_tonne_production,vol_ippu_metals_m3_ww_per_tonne_production,vol_ippu_paper_m3_ww_per_tonne_production,vol_ippu_plastic_m3_ww_per_tonne_production,vol_ippu_recycled_glass_m3_ww_per_tonne_production,vol_ippu_recycled_metals_m3_ww_per_tonne_production,vol_ippu_recycled_paper_m3_ww_per_tonne_production,vol_ippu_recycled_plastic_m3_ww_per_tonne_production,vol_ippu_recycled_rubber_and_leather_m3_ww_per_tonne_production,vol_ippu_recycled_textiles_m3_ww_per_tonne_production,vol_ippu_recycled_wood_m3_ww_per_tonne_production,vol_ippu_rubber_and_leather_m3_ww_per_tonne_production,vol_ippu_textiles_m3_ww_per_tonne_production
0,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,1.0,54.82991961,3.145207224,1939122.0,2908682.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,38.83107386,10.64896106,6.239061372,2.954671495,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
1,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.99,57.15799243,3.145207224,1935241.0,2964104.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,40.7395256,10.93995588,6.518427514,3.080126548,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
2,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.98,59.09975329,3.145207224,1930482.0,3019472.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,42.25398672,11.22497854,6.936925587999999,3.1837680010000002,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
3,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.97,60.65643192,3.145207224,1924785.0,3074656.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,43.09221382,11.80920172,7.1965834489999985,3.266669999,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
4,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.96,62.43010326,3.145207224,1917502.0,3128555.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,44.39106086,12.14492665,7.402811149,3.3615885939999997,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
5,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.95,64.18828134,3.145207224,1909226.0,3182044.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,45.67741973,12.47977591,7.607812281,3.455923617,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
6,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.94,66.12371693,3.145207224,1899964.0,3235075.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,47.09170214,12.84997243,7.833481796,3.560140589,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
7,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.93,68.18433178,3.145207224,1889752.0,3287652.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,48.59598329,13.2460467,8.074160761,3.67142209,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
8,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.92,70.45918688,3.145207224,1878616.0,3339763.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,50.25520448,13.68496934,8.340166596,3.7946043339999997,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
9,5113100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2e-05,0.0001,0.003,0.0001,0.0001,0.003,2e-05,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05694748765118105,0.10992772880223167,0.0467616205881656,0.04068438181470159,0.024031253398649977,0.04613517479380644,0.10516377160535437,0.05512162301339522,0.08506836897907487,0.010804684500012963,0.0956122486737891,0.10060410243658972,0.019062664338045317,0.0762398470137207,0.013328110761723902,0.014462371521999575,-0.1,0.91,72.95089139,3.145207224,1866592.0,3391415.0,100000.0,80000.0,5000.0,14000.0,1400.0,10000.0,105000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,400000.0,0.9,1.2,0.01,0.0,0.0,0.0,0.6,6.0,5.01,0.0,0.0,0.0,0.0,0.1,8.4,2.0,4.0,52.07124644,14.16767585,8.632126083,3.9298471669999997,25.0,2.0,1.0,4.0,25.0,5.0,19.0,25.0,25.0,3.4,3.0,4.0,16.0,16.0,25.0,25.0,25.0
